Name,From,To,Pos,Height,Weight,Birth Date,Colleges,Retired
Ben Davis,1997,2000,F,6-9,240,"December 26, 1972","Kansas, Arizona",1
Bill Davis,1947,1947,F,6-3,215,"October 3, 1920",Notre Dame,1
Bob Davis,1973,1973,F,6-7,215,"April 2, 1950",Weber State,1
Brad Davis,1978,1992,G,6-3,180,"December 17, 1955",Maryland,1
Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970",Duke,1
Charles Davis,1982,1990,F,6-7,215,"October 5, 1958",Vanderbilt,1
Charlie Davis,1972,1974,G,6-2,160,"September 7, 1949",Wake Forest,1
Dale Davis,1992,2007,F-C,6-11,230,"March 25, 1969",Clemson,1
Deyonta Davis,2017,2019,C-F,6-11,237,"December 2, 1996",Michigan State,1
Dwight Davis,1973,1977,F,6-8,220,"October 28, 1949",Houston,1
Ed Davis,2011,2022,F,6-9,218,"June 5, 1989",UNC,1
Emanual Davis,1997,2003,G,6-4,195,"August 27, 1968",Delaware State University,1
Glen Davis,2008,2015,F-C,6-9,289,"January 1, 1986",LSU,1
Harry Davis,1979,1980,F,6-7,220,"January 27, 1956",Florida State,1
Hubert Davis,1993,2004,G,6-5,183,"May 17, 1970",UNC,1
Jim Davis,1968,1975,C-F,6-9,225,"December 18, 1941",Colorado,1
Johnny Davis,1977,1986,G,6-2,170,"October 21, 1955",Dayton,1
Johnny Davis,2023,2025,G,6-5,196,"February 27, 2002",Wisconsin,0
Josh Davis,2004,2012,F,6-8,235,"August 10, 1980",Wyoming,1
Lee Davis,1969,1976,C-F,6-8,235,"October 11, 1945",NC Central,1
Mark Davis,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion,1
Mark Davis,1996,2000,G-F,6-7,210,"April 26, 1973","Howard College, Texas Tech",1
Mel Davis,1974,1977,F,6-6,220,"November 9, 1950",St. John's,1
Mickey Davis,1972,1977,F-G,6-7,195,"June 16, 1950",Duquesne,1
Mike Davis,1970,1973,G,6-3,185,"July 26, 1946",Virginia Union University,1
Mike Davis,1983,1983,F,6-10,230,"August 2, 1956",Maryland,1
Monti Davis,1981,1981,F,6-7,205,"July 26, 1958",Tennessee State,1
Paul Davis,2007,2010,C,6-11,270,"July 21, 1984",Michigan State,1
Ralph Davis,1961,1962,G,6-4,180,"September 7, 1938",Cincinnati,1
Red Davis,1956,1956,C,6-7,220,"April 22, 1932",St. John's,1
Ricky Davis,1999,2010,G-F,6-6,195,"September 23, 1979",Iowa,1
Ron Davis,1977,1982,G-F,6-6,198,"May 1, 1954",Washington State,1
Terence Davis,2020,2023,G,6-4,201,"May 16, 1997",Ole Miss,0
Terry Davis,1990,2001,F-C,6-9,225,"June 17, 1967",Virginia Union University,1
Tyler Davis,2019,2019,C,6-10,266,"May 22, 1997",Texas A&M,1
Walt Davis,1954,1958,C-F,6-8,205,"January 5, 1931",Texas A&M,1
Walter Davis,1978,1992,G-F,6-6,193,"September 9, 1954",UNC,1
Warren Davis,1968,1973,F-C,6-6,212,"June 30, 1943",North Carolina A&T,1
Willie Davis,1971,1971,C,6-8,234,"August 9, 1945",University of North Texas,1
JD Davison,2023,2025,G,6-1,195,"October 3, 2002",Alabama,0
Andre Dawkins,2015,2015,G,6-5,215,"September 19, 1991",Duke,1
Darryl Dawkins,1976,1989,C,6-11,251,"January 11, 1957",,1
Johnny Dawkins,1987,1995,G,6-2,165,"September 28, 1963",Duke,1
Paul Dawkins,1980,1980,F,6-5,190,"June 10, 1957",Northern Illinois,1
Branden Dawson,2016,2016,F,6-6,225,"February 1, 1993",Michigan State,1
Eric Dawson,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University,1
Jimmy Dawson,1968,1968,G,6-0,175,"April 18, 1945",Illinois,1
Tony Dawson,1991,1995,F,6-7,215,"August 25, 1967",Florida State,1
Todd Day,1993,2001,G-F,6-6,188,"January 7, 1970",Arkansas,1
Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga,1
Darren Daye,1984,1988,F-G,6-8,220,"November 30, 1960",UCLA,1
Darius Days,2023,2023,F,6-7,245,"October 20, 1999",LSU,0
Nando De Colo,2013,2014,G,6-5,200,"June 23, 1987",,1
Billy DeAngelis,1971,1971,G,6-1,180,"October 5, 1946",Saint Joseph's,1
Dave DeBusschere,1963,1974,F-G,6-6,220,"October 16, 1940",Detroit Mercy,1
Andrew DeClercq,1996,2005,F-C,6-10,230,"February 1, 1973",Florida,1
Javin DeLaurier,2022,2022,F,6-10,237,"April 7, 1998",Duke,1
Nate DeLong,1952,1952,C,6-6,220,"January 5, 1926",Wisconsin-River Falls,1
Joe DePre,1971,1973,G,6-3,185,"December 19, 1947",St. John's,1
DeMar DeRozan,2010,2025,G-F,6-6,220,"August 7, 1989",USC,0
Hank DeZonie,1951,1951,C-F,6-6,215,"February 12, 1922",Clark Atlanta University,1
Greg Deane,1980,1980,G,6-4,190,"December 6, 1957",Utah,1
Gabriel Deck,2021,2022,F,6-8,232,"February 8, 1995",,1
Dewayne Dedmon,2014,2023,C,7-0,245,"August 12, 1989",USC,0
Don Dee,1969,1969,F,6-8,210,"August 9, 1943","Saint Louis, Saint Mary of the Plains College",1
Archie Dees,1959,1962,F-C,6-8,205,"February 22, 1936",Indiana,1
Terry Dehere,1994,1999,G,6-2,190,"September 12, 1971",Seton Hall,1
Red Dehnert,1947,1947,F,6-3,175,"January 24, 1924",Columbia University,1
Bryce Dejean-Jones,2016,2016,G,6-6,209,"August 21, 1992","USC, UNLV, Iowa State",1
Sam Dekker,2016,2022,F,6-9,230,"May 6, 1994",Wisconsin,1
Vinny Del Negro,1989,2002,G,6-4,185,"August 9, 1966",NC State,1
Malcolm Delaney,2017,2018,G,6-3,190,"March 11, 1989",Virginia Tech,1
Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969","Maryland, Arizona",1
Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",,1
Ángel Delgado,2019,2019,C,6-10,245,"November 20, 1994",Seton Hall,1
Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",Kentucky,1
Matthew Dellavedova,2014,2023,G,6-3,200,"September 8, 1990",Saint Mary's,0
Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966",Wyoming,1
Larry Demic,1980,1982,F-C,6-9,225,"June 27, 1957",Arizona,1
Dell Demps,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific,1
George Dempsey,1955,1959,G,6-2,190,"July 19, 1929",King's College,1
Luol Deng,2005,2019,F,6-9,237,"April 16, 1985",Duke,1
Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958",Duke,1
Blaine Denning,1953,1953,G,6-2,175,"September 19, 1930",Lawrence Technological University,1
Dexter Dennis,2024,2024,G,6-5,210,"February 9, 1999","Wichita State, Texas A&M",0
Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",Washington,1
Randy Denton,1972,1977,C,6-10,240,"February 18, 1949",Duke,1
Rod Derline,1975,1976,G,6-0,175,"March 11, 1952",Seattle University,1
Marcus Derrickson,2019,2019,F,6-7,249,"February 1, 1996",Georgetown,1
Dave Deutsch,1967,1967,G,6-1,170,"May 13, 1945",University of Rochester,1
Corky Devlin,1956,1958,G,6-5,195,"December 21, 1931",George Washington,1
Ernie DiGregorio,1974,1978,G,6-0,180,"January 15, 1951",Providence,1
Donte DiVincenzo,2019,2025,G,6-4,203,"January 31, 1997",Villanova,0
Moussa Diabaté,2023,2025,F,6-11,210,"January 21, 2002",Michigan,0
Mamadi Diakite,2021,2024,F,6-9,228,"January 21, 1997",Virginia,0
Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan,1
Cheick Diallo,2017,2022,F,6-8,219,"September 13, 1996",Kansas,0
Hamidou Diallo,2019,2024,G,6-5,202,"July 31, 1998",Kentucky,0
Boris Diaw,2004,2017,F-C,6-8,250,"April 16, 1982",,1
Yakhouba Diawara,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine,1
Guillermo Díaz,2008,2008,G,6-2,192,"March 4, 1985",Miami (FL),1
Gradey Dick,2024,2025,G,6-6,205,"November 20, 2003",Kansas,0
Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978","Washington, Gonzaga",1
Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, Idaho",1
Henry Dickerson,1976,1977,G,6-4,190,"November 27, 1951",University of Charleston,1
Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",Arizona,1
Clyde Dickey,1975,1975,G,6-3,185,"December 14, 1951","Cochise Community College, Boise State",1
Derrek Dickey,1974,1978,F,6-7,218,"March 20, 1951",Cincinnati,1
Dick Dickey,1952,1952,G,6-1,175,"October 26, 1926",NC State,1
John Dickson,1968,1968,C,6-10,240,"November 18, 1945",Arkansas State University,1
Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette,1
Gorgui Dieng,2014,2023,C,6-10,252,"January 18, 1990",Louisville,1
Ousmane Dieng,2023,2025,F,6-10,222,"May 21, 2003",,0
Connie Dierking,1959,1971,C-F,6-9,222,"October 2, 1936",Cincinnati,1
Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State,1
Craig Dill,1968,1968,C,6-11,215,"December 17, 1944",Michigan,1
Dwaine Dillard,1976,1976,F,6-6,230,"March 9, 1949",Eastern Michigan,1
Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958",Florida State,1
Bob Dille,1947,1947,F,6-3,190,"July 2, 1917",Valparaiso,1
Rob Dillingham,2025,2025,G,6-1,176,"January 4, 2005",Kentucky,0
Hook Dillon,1950,1950,F,6-3,180,"January 8, 1924",UNC,1
Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",UNC Charlotte,1
Jackie Dinkins,1972,1972,F,6-5,210,"January 22, 1950",Voorhees College,1
Harry Dinnel,1968,1968,F-G,6-4,200,"October 9, 1940",Pepperdine,1
Bill Dinwiddie,1968,1972,F,6-7,220,"July 15, 1943",New Mexico Highlands University,1
Spencer Dinwiddie,2015,2025,G,6-5,215,"April 6, 1993",Colorado,0
Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State,1
DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",,1
Terry Dischinger,1963,1973,F-G,6-7,189,"November 21, 1940",Purdue,1
Fred Diute,1955,1955,G,6-3,210,"January 9, 1929",St. Bonaventure,1
Vlade Divac,1990,2005,C,7-1,243,"February 3, 1968",,1
Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",Maryland,1
Earl Dodd,1950,1950,F,6-5,175,"November 1, 1924",Truman State University,1
Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",Utah,1
Joe Dolhon,1950,1951,G,6-0,175,"July 9, 1927",NYU,1
Bob Doll,1947,1950,F-C,6-5,195,"August 10, 1919",Colorado,1
James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State,1
Luka Dončić,2019,2025,G-F,6-6,230,"February 28, 1999",,0
Bob Donham,1951,1954,G-F,6-2,190,"October 11, 1926",Ohio State,1
Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence,1
Harry Donovan,1950,1950,G,6-2,180,"September 10, 1926",Muhlenberg College,1
Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",Missouri,1
Aleksandar Djordjevic,1997,1997,G,6-2,198,"August 26, 1967",,1
Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954",Georgia,1
Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",Memphis,1
Ron Dorsey,1972,1972,F,6-4,200,"October 10, 1948",Tennessee State,1
Tyler Dorsey,2018,2023,G,6-5,183,"February 18, 1996",Oregon,0
Luguentz Dort,2020,2025,G,6-4,220,"April 19, 1999",Arizona State,0
Ayo Dosunmu,2022,2025,G,6-5,200,"January 17, 2000",Illinois,0
Damyean Dotson,2018,2022,G,6-5,210,"May 6, 1994","Oregon, Houston",1
Devon Dotson,2021,2023,G,6-2,185,"August 2, 1999",Kansas,0
Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University,1
Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",Illinois,1
John Douglas,1982,1983,G,6-2,170,"June 12, 1956",Kansas,1
Leon Douglas,1977,1983,C-F,6-10,230,"August 26, 1954",Alabama,1
Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse,1
Toney Douglas,2010,2017,G,6-2,195,"March 16, 1986","Auburn, Florida State",1
Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",Memphis,1
Sekou Doumbouya,2020,2022,F,6-8,230,"December 23, 2000",,0
Sonny Dove,1968,1972,F,6-7,198,"August 16, 1945",St. John's,1
Jerry Dover,1972,1972,G,5-7,155,"October 16, 1949",LeMoyne-Owen College,1
Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Tech,1
Bill Downey,1948,1948,C,6-6,210,"November 11, 1923",Marquette,1
Steve Downing,1974,1975,C,6-8,225,"September 9, 1950",Indiana,1
Jeff Dowtin,2022,2025,G,6-3,185,"May 10, 1997",Rhode Island,0
Danny Doyle,1963,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College,1
Milton Doyle,2018,2018,G,6-4,185,"October 31, 1993",Loyola Chicago,1
PJ Dozier,2018,2025,G,6-6,205,"October 25, 1996",South Carolina,0
Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",South Carolina,1
Goran Dragić,2009,2023,G,6-4,190,"May 6, 1986",,1
Zoran Dragić,2015,2015,G-F,6-5,200,"June 22, 1989",,1
Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962","Wichita State, Kansas",1
Henri Drell,2024,2024,G,6-9,187,"April 25, 2000",,0
Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso,1
John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University,1
Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",Missouri,1
Larry Drew II,2015,2018,G,6-2,180,"March 5, 1990","UNC, UCLA",1
Clyde Drexler,1984,1998,G,6-7,210,"June 22, 1962",Houston,1
Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo,1
Terry Driscoll,1971,1975,F,6-7,215,"August 28, 1947",Boston College,1
Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",,1
Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954",UCLA,1
Andre Drummond,2013,2025,C,6-11,279,"August 10, 1993",UConn,0
Dennis DuVal,1975,1976,G,6-3,175,"March 31, 1952",Syracuse,1
Chris Duarte,2022,2025,G,6-6,190,"June 13, 1997",Oregon,0
Alex Ducas,2025,2025,G-F,6-6,222,"December 11, 2000",Saint Mary's University,0
Dick Duckett,1958,1958,G,6-1,185,"March 25, 1933",St. John's,1
Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University,1
Charles Dudley,1973,1979,G,6-2,180,"March 5, 1950",Washington,1
Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale,1
Jared Dudley,2008,2021,F-G,6-6,237,"July 10, 1985",Boston College,1
Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",Detroit Mercy,1
Bob Duffy,1947,1947,F,6-4,175,"July 5, 1922",Tulane,1
Bob Duffy,1963,1965,G,6-3,185,"September 26, 1940",Colgate,1
Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke,1
Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",Wisconsin,1
David Duke Jr.,2022,2025,G,6-5,205,"October 13, 1999",Providence,0
Walter Dukes,1956,1963,C,7-0,220,"June 23, 1930",Seton Hall,1
Joe Dumars,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University,1
Rich Dumas,1969,1969,G,6-3,170,"April 21, 1944",Northeastern State University,1
Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State,1
Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",Missouri-Kansas City,1
Andy Duncan,1949,1951,F-C,6-6,195,"April 17, 1922",William & Mary,1
Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest,1
Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",South Carolina,1
Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke,1
Kris Dunn,2017,2025,G,6-3,205,"March 18, 1994",Providence,0
Pat Dunn,1958,1958,G,6-2,170,"March 17, 1931",Utah State University,1
Ryan Dunn,2025,2025,F,6-6,216,"January 7, 2003",Virginia,0
T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",Alabama,1
Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",LSU,1
Kevin Durant,2008,2025,F-G,6-11,240,"September 29, 1988",Texas,0
Jalen Duren,2023,2025,C,6-10,250,"November 18, 2003",Memphis,0
John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown,1
Jarrett Durham,1972,1972,F,6-5,188,"August 22, 1949",Duquesne,1
Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State,1
Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",BYU,1
Ken Durrett,1972,1975,F,6-7,190,"December 8, 1948",La Salle,1
Trevon Duval,2019,2019,G,6-2,189,"August 3, 1998",Duke,0
Jack Dwan,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola Chicago,1
Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959",Cal State Long Beach,1
Gene Dyker,1954,1954,F,6-6,225,"February 17, 1930",DePaul,1
Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",UConn,1
Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",New Orleans,1
Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946",BYU,1
Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",Iowa,1
Ed Earle,1954,1954,F,6-3,190,"April 28, 1927",Loyola Chicago,1
Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State,1
Penny Early,1969,1969,G,5-3,114,"May 30, 1943",,1
Tari Eason,2023,2025,F,6-8,216,"May 10, 2001","Cincinnati, LSU",0
Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957","Cypress College, UCLA",1
Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",Louisville,1
Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia,1
Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935",Detroit Mercy,1
Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",Missouri,1
Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",,1
Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951",Louisiana,1
Jaime Echenique,2022,2022,C,6-11,258,"April 27, 1997","Trinity Valley CC, Wichita State",0
Jarell Eddie,2016,2018,G-F,6-7,218,"October 30, 1991",Virginia Tech,1
Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967","Arkansas State University, Ole Miss",1
Dike Eddleman,1950,1953,F-G,6-3,189,"December 27, 1922",Illinois,1
Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",Virginia,1
Zach Edey,2025,2025,C,7-4,305,"May 14, 2002",Purdue,0
Charles Edge,1974,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College,1
Bobby Edmonds,1968,1970,F,6-6,220,"March 8, 1941",Tennessee State,1
Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue,1
Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973",UCLA,1
Anthony Edwards,2021,2025,G-F,6-4,225,"August 5, 2001",Georgia,0
Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University,1
Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University,1
Carsen Edwards,2020,2022,G,5-11,200,"March 12, 1998",Purdue,0
Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University,1
Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State,1
Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University,1
James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955",Washington,1
Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana,1
John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University,1
Justin Edwards,2025,2025,G,6-6,203,"December 16, 2003",Kentucky,0
Kessler Edwards,2022,2025,F,6-8,215,"August 9, 2000",Pepperdine,0
Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul,1
Rob Edwards,2022,2022,G,6-5,205,"January 20, 1997","Cleveland State University, Arizona State",0
Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",Little Rock,1
Vince Edwards,2019,2019,F,6-8,225,"April 5, 1996",Purdue,0
Johnny Egan,1962,1972,G,5-11,180,"January 31, 1939",Providence,1
Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State,1
Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue,1
Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961","Odessa College, Washington State",1
Rich Eichhorst,1962,1962,G,6-3,200,"October 21, 1933",SE Missouri State,1
Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College,1
Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975",Maryland,1
Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",UConn,1
Don Eliason,1947,1947,F,6-2,210,"July 24, 1918",Hamline University,1
Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College,1
CJ Elleby,2021,2022,F,6-6,200,"June 16, 2000",Washington State,0
Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University,1
Henry Ellenson,2017,2021,F,6-10,240,"January 13, 1997",Marquette,1
Wayne Ellington,2010,2022,G,6-4,207,"November 29, 1987",UNC,1
Bob Elliott,1979,1981,C-F,6-9,225,"August 18, 1955",Arizona,1
Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968",Arizona,1
Bo Ellis,1978,1980,F,6-9,197,"August 8, 1954",Marquette,1
Boo Ellis,1959,1960,F,6-5,185,"February 11, 1936",Niagara University,1
Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960",Tennessee,1
Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College,1
Joe Ellis,1967,1974,F-G,6-6,175,"May 3, 1944",San Francisco,1
Keon Ellis,2023,2025,G,6-6,175,"January 8, 2000","Florida SouthWestern State College, Alabama",0
LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970",Notre Dame,1
LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969","Kentucky, Syracuse",1
Leroy Ellis,1963,1976,C-F,6-10,210,"March 10, 1940",St. John's,1
Monta Ellis,2006,2017,G,6-3,185,"October 26, 1985",,1
Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967",Louisville,1
Len Elmore,1975,1984,C-F,6-9,220,"March 28, 1952",Maryland,1
Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",California,1
Darrell Elston,1975,1977,G,6-4,190,"August 15, 1952",UNC,1
Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978",Fresno State,1
Joel Embiid,2017,2025,C,7-0,280,"March 16, 1994",Kansas,0
Wayne Embry,1959,1969,C-F,6-8,240,"March 26, 1937",Miami University,1
Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech,1
Ned Endress,1947,1947,F-G,6-2,200,"March 2, 1918",University of Akron,1
Wayne Engelstad,1989,1989,F,6-8,245,"December 6, 1965","University of California, Irvine",1
Chris Engler,1983,1988,C,6-11,245,"March 1, 1959","Minnesota, Wyoming",1
A.J. English,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University,1
Alex English,1977,1991,F,6-8,190,"January 5, 1954",South Carolina,1
Claude English,1971,1971,F,6-4,185,"December 26, 1946",Rhode Island,1
Jo Jo English,1993,1995,G,6-4,195,"February 4, 1970",South Carolina,1
Kim English,2013,2013,G,6-6,200,"September 24, 1988",Missouri,1
Scott English,1973,1975,F,6-6,205,"October 20, 1950",Texas-El Paso,1
Gene Englund,1950,1950,F-C,6-5,205,"October 21, 1917",Wisconsin,1
James Ennis III,2015,2022,F,6-6,215,"July 1, 1990",Cal State Long Beach,1
Tyler Ennis,2015,2018,G,6-3,194,"August 24, 1994",Syracuse,1
Ray Epps,1979,1979,F,6-6,195,"August 20, 1956",Norfolk State,1
Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",,1
Bo Erias,1958,1958,F,6-3,220,"July 30, 1932",Niagara University,1
Keith Erickson,1966,1977,F-G,6-5,195,"April 19, 1944",UCLA,1
Julius Erving,1972,1987,F-G,6-7,210,"February 22, 1950",UMass,1
Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern,1
Jack Eskridge,1949,1949,C-F,6-5,200,"January 21, 1924",Kansas,1
Vincenzo Esposito,1996,1996,G,6-3,198,"March 1, 1969",,1
Drew Eubanks,2019,2025,F,6-9,245,"February 1, 1997",Oregon State,0
Billy Evans,1970,1970,G,6-0,170,"March 3, 1947",Boston College,1
Bob Evans,1950,1950,G,6-2,175,"May 31, 1925",Butler,1
Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana,1
Earl Evans,1980,1980,F,6-8,202,"November 11, 1955","USC, UNLV",1
Jacob Evans,2019,2020,G-F,6-4,210,"June 18, 1997",Cincinnati,0
Jawun Evans,2018,2019,G,6-0,185,"July 26, 1996",Oklahoma State,1
Jeremy Evans,2011,2018,F,6-9,200,"October 24, 1987",Western Kentucky,1
Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978","Wichita State, Texas",1
