Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link,Season
Myles Turner,#33,C-F,6-11,250 lbs,"MAR 24, 1996",26,6,Texas,#11 Pick in 2015 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1626167/,2021-22
Goga Bitadze,#88,C-F,7-0,250 lbs,"JUL 20, 1999",22,2,Mega Basket,,INDIANA PACERS,https://www.nba.com/stats/player/1629048/,2021-22
Ricky Rubio,#99,G,6-2,190 lbs,"OCT 21, 1990",31,10,FC Barcelona,,INDIANA PACERS,https://www.nba.com/stats/player/201937/,2021-22
T.J. Warren,#1,F,6-8,220 lbs,"SEP 05, 1993",27,6,North Carolina State,,INDIANA PACERS,https://www.nba.com/stats/player/203933/,2020-21
Cassius Stanley,#2,G,6-5,190 lbs,"AUG 18, 1999",21,R,Duke,,INDIANA PACERS,https://www.nba.com/stats/player/1630199/,2020-21
Aaron Holiday,#3,G,6-0,185 lbs,"SEP 30, 1996",24,2,UCLA,,INDIANA PACERS,https://www.nba.com/stats/player/1628988/,2020-21
Edmond Sumner,#5,G,6-4,196 lbs,"DEC 31, 1995",25,3,Xavier,,INDIANA PACERS,https://www.nba.com/stats/player/1628410/,2020-21
Malcolm Brogdon,#7,G,6-5,229 lbs,"DEC 11, 1992",28,4,Virginia,,INDIANA PACERS,https://www.nba.com/stats/player/1627763/,2020-21
Justin Holiday,#8,F-G,6-6,180 lbs,"APR 05, 1989",32,7,Washington,,INDIANA PACERS,https://www.nba.com/stats/player/203200/,2020-21
T.J. McConnell,#9,G,6-1,190 lbs,"MAR 25, 1992",29,5,Arizona,Signed on 07/29/19,INDIANA PACERS,https://www.nba.com/stats/player/204456/,2020-21
Domantas Sabonis,#11,F-C,6-11,240 lbs,"MAY 03, 1996",25,4,Gonzaga,,INDIANA PACERS,https://www.nba.com/stats/player/1627734/,2020-21
Oshae Brissett,#12,F-G,6-7,210 lbs,"JUN 20, 1998",23,1,Syracuse,,INDIANA PACERS,https://www.nba.com/stats/player/1629052/,2020-21
JaKarr Sampson,#14,F,6-7,214 lbs,"MAR 20, 1993",28,5,St. John's (NY),,INDIANA PACERS,https://www.nba.com/stats/player/203960/,2020-21
Doug McDermott,#20,F,6-7,225 lbs,"JAN 03, 1992",29,6,Creighton,,INDIANA PACERS,https://www.nba.com/stats/player/203926/,2020-21
Kelan Martin,#21,F,6-5,230 lbs,"AUG 03, 1995",25,1,Butler,,INDIANA PACERS,https://www.nba.com/stats/player/1629103/,2020-21
Caris LeVert,#22,G,6-6,205 lbs,"AUG 25, 1994",26,4,Michigan,,INDIANA PACERS,https://www.nba.com/stats/player/1627747/,2020-21
Jeremy Lamb,#26,G-F,6-5,180 lbs,"MAY 30, 1992",29,8,Connecticut,,INDIANA PACERS,https://www.nba.com/stats/player/203087/,2020-21
Myles Turner,#33,C-F,6-11,250 lbs,"MAR 24, 1996",25,5,Texas,#11 Pick in 2015 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1626167/,2020-21
Amida Brimah,#37,C,6-10,230 lbs,"FEB 11, 1994",27,R,Connecticut,,INDIANA PACERS,https://www.nba.com/stats/player/1628578/,2020-21
Goga Bitadze,#88,C-F,6-11,250 lbs,"JUL 20, 1999",21,1,Mega Basket,,INDIANA PACERS,https://www.nba.com/stats/player/1629048/,2020-21
Damian Lillard,#0,G,6-2,195 lbs,"JUL 15, 1990",34,12,Weber State,Traded from POR on 09/27/23,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203081/,2024-25
MarJon Beauchamp,#3,F,6-7,199 lbs,"OCT 12, 2000",24,2,NBA G League Ignite,#24 Pick in 2022 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1630699/,2024-25
Gary Trent Jr.,#5,G,6-5,204 lbs,"JAN 18, 1999",25,6,Duke,Signed on 07/20/24,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1629018/,2024-25
Chris Livingston,#7,F,6-6,220 lbs,"OCT 15, 2003",21,1,Kentucky,#58 Pick in 2023 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1641753/,2024-25
Bobby Portis,#9,F,6-10,250 lbs,"FEB 10, 1995",29,9,Arkansas,Signed on 11/24/20,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626171/,2024-25
Brook Lopez,#11,C,7-1,282 lbs,"APR 01, 1988",36,16,Stanford,Signed on 07/17/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201572/,2024-25
Taurean Prince,#12,F,6-6,218 lbs,"MAR 22, 1994",30,8,Baylor,Signed on 07/09/24,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1627752/,2024-25
Ryan Rollins,#13,G,6-3,180 lbs,"JUL 03, 2002",22,2,Toledo,Signed on 02/20/24,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1631157/,2024-25
Liam Robbins,#15,C,7-0,250 lbs,"JUL 12, 1999",25,R,Vanderbilt,Signed on 08/27/24,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1641857/,2024-25
Stanley Umude,#17,G,6-6,210 lbs,"APR 12, 1999",25,2,Arkansas,Signed on 07/09/24,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1630649/,2024-25
AJ Green,#20,G,6-4,190 lbs,"SEP 27, 1999",25,2,Northern Iowa,Signed on 07/01/22,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1631260/,2024-25
Tyler Smith,#21,F,6-9,224 lbs,"NOV 02, 2004",20,R,NBA G League Ignite,#33 Pick in 2024 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1641890/,2024-25
Khris Middleton,#22,F,6-7,222 lbs,"AUG 12, 1991",33,12,Texas A&M,Traded from DET on 07/31/13,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203114/,2024-25
Pat Connaughton,#24,G,6-5,209 lbs,"JAN 06, 1993",31,9,Notre Dame,Signed on 08/01/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626192/,2024-25
Giannis Antetokounmpo,#34,F,6-11,243 lbs,"DEC 06, 1994",30,11,Filathlitikos,#15 Pick in 2013 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203507/,2024-25
Andre Jackson Jr.,#44,G,6-6,209 lbs,"NOV 13, 2001",23,1,Connecticut,Draft Rights Traded from ORL on 06/22/23,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1641748/,2024-25
Delon Wright,#55,G,6-5,185 lbs,"APR 26, 1992",32,9,Utah,Signed on 07/06/24,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626153/,2024-25
AJ Johnson,#77,G,6-5,160 lbs,"DEC 01, 2004",20,R,Illawarra,#23 Pick in 2024 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1642358/,2024-25
Jaylin Galloway,#,F,6-6,190 lbs,"DEC 21, 2002",21,R,Sydney Kings,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1641945/,2023-24
Damian Lillard,#0,G,6-2,195 lbs,"JUL 15, 1990",33,11,Weber State,Traded from POR on 09/27/23,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203081/,2023-24
MarJon Beauchamp,#3,F,6-7,199 lbs,"OCT 12, 2000",23,1,NBA G League Ignite,#24 Pick in 2022 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1630699/,2023-24
Malik Beasley,#5,G,6-4,187 lbs,"NOV 26, 1996",27,7,Florida State,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1627736/,2023-24
Chris Livingston,#7,F,6-6,220 lbs,"OCT 15, 2003",20,R,Kentucky,#58 Pick in 2023 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1641753/,2023-24
Bobby Portis,#9,F,6-10,250 lbs,"FEB 10, 1995",29,8,Arkansas,Signed on 11/24/20,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626171/,2023-24
Brook Lopez,#11,C,7-1,282 lbs,"APR 01, 1988",36,15,Stanford,Signed on 07/17/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201572/,2023-24
Danilo Gallinari,#12,F,6-10,236 lbs,"AUG 08, 1988",35,13,Olimpia Milano,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201568/,2023-24
AJ Green,#20,G,6-4,190 lbs,"SEP 27, 1999",24,1,Northern Iowa,Signed on 07/01/22,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1631260/,2023-24
Patrick Beverley,#21,G,6-2,180 lbs,"JUL 12, 1988",35,11,Arkansas,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201976/,2023-24
Khris Middleton,#22,F,6-7,222 lbs,"AUG 12, 1991",32,11,Texas A&M,Traded from DET on 07/31/13,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203114/,2023-24
TyTy Washington Jr.,#23,G,6-3,195 lbs,"NOV 15, 2001",22,1,Kentucky,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1631102/,2023-24
Pat Connaughton,#24,G,6-5,209 lbs,"JAN 06, 1993",31,8,Notre Dame,Signed on 08/01/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626192/,2023-24
Giannis Antetokounmpo,#34,F,6-11,243 lbs,"DEC 06, 1994",29,10,Filathlitikos,#15 Pick in 2013 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203507/,2023-24
Thanasis Antetokounmpo,#43,F,6-7,219 lbs,"JUL 18, 1992",31,5,Panathinaikos,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203648/,2023-24
Andre Jackson Jr.,#44,G,6-6,209 lbs,"NOV 13, 2001",22,R,Connecticut,Draft Rights Traded from ORL on 06/22/23,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1641748/,2023-24
Ryan Rollins,#55,G,6-3,180 lbs,"JUL 03, 2002",21,1,Toledo,Signed on 02/20/24,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1631157/,2023-24
Jae Crowder,#99,F,6-6,235 lbs,"JUL 06, 1990",33,11,Marquette,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203109/,2023-24
MarJon Beauchamp,#0,F,6-7,199 lbs,"OCT 12, 2000",22,R,NBA G League Ignite,#24 Pick in 2022 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1630699/,2022-23
Meyers Leonard,#3,F-C,7-0,260 lbs,"FEB 27, 1992",31,9,Illinois,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203086/,2022-23
Jevon Carter,#5,G,6-1,200 lbs,"SEP 14, 1995",27,4,West Virginia,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1628975/,2022-23
Joe Ingles,#7,F-G,6-9,220 lbs,"OCT 02, 1987",35,8,Maccabi Tel Aviv,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/204060/,2022-23
Bobby Portis,#9,F,6-11,250 lbs,"FEB 10, 1995",28,7,Arkansas,Signed on 11/24/20,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626171/,2022-23
Brook Lopez,#11,C,7-1,282 lbs,"APR 01, 1988",35,14,Stanford,Signed on 07/17/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201572/,2022-23
Grayson Allen,#12,G,6-4,198 lbs,"OCT 08, 1995",27,4,Duke,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1628960/,2022-23
AJ Green,#20,G,6-5,190 lbs,"SEP 27, 1999",23,R,Northern Iowa,Signed on 07/01/22,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1631260/,2022-23
Jrue Holiday,#21,G,6-5,205 lbs,"JUN 12, 1990",33,13,UCLA,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201950/,2022-23
Khris Middleton,#22,F,6-7,222 lbs,"AUG 12, 1991",31,10,Texas A&M,Traded from DET on 07/31/13,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203114/,2022-23
Wesley Matthews,#23,G,6-5,220 lbs,"OCT 14, 1986",36,13,Marquette,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/202083/,2022-23
Pat Connaughton,#24,G,6-5,209 lbs,"JAN 06, 1993",30,7,Notre Dame,Signed on 08/01/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626192/,2022-23
Lindell Wigginton,#28,G,6-1,189 lbs,"MAR 28, 1998",25,1,Iowa State,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1629623/,2022-23
Goran Dragic,#31,G,6-4,190 lbs,"MAY 06, 1986",37,14,Union Olimpija,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201609/,2022-23
Giannis Antetokounmpo,#34,F,7-0,243 lbs,"DEC 06, 1994",28,9,Filathlitikos,#15 Pick in 2013 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203507/,2022-23
Thanasis Antetokounmpo,#43,F,6-7,219 lbs,"JUL 18, 1992",30,4,Panathinaikos,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203648/,2022-23
Jae Crowder,#99,F,6-6,235 lbs,"JUL 06, 1990",32,10,Marquette,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203109/,2022-23
George Hill,#3,G,6-4,188 lbs,"MAY 04, 1986",36,13,Indiana-Purdue Indianapolis,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201588/,2021-22
Jevon Carter,#5,G,6-1,200 lbs,"SEP 14, 1995",26,3,West Virginia,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1628975/,2021-22
Luca Vildoza,#6,G,6-3,190 lbs,"AUG 11, 1995",26,R,Baskonia,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1630492/,2021-22
Grayson Allen,#7,G,6-4,198 lbs,"OCT 08, 1995",26,3,Duke,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1628960/,2021-22
Bobby Portis,#9,F,6-10,250 lbs,"FEB 10, 1995",27,6,Arkansas,Signed on 11/24/20,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626171/,2021-22
Brook Lopez,#11,C,7-0,282 lbs,"APR 01, 1988",34,13,Stanford,Signed on 07/17/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201572/,2021-22
Jordan Nwora,#13,F,6-8,225 lbs,"SEP 09, 1998",23,1,Louisville,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1629670/,2021-22
Jrue Holiday,#21,G,6-3,205 lbs,"JUN 12, 1990",32,12,UCLA,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201950/,2021-22
Khris Middleton,#22,F,6-7,222 lbs,"AUG 12, 1991",30,9,Texas A&M,Traded from DET on 07/31/13,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203114/,2021-22
Wesley Matthews,#23,G,6-4,220 lbs,"OCT 14, 1986",35,12,Marquette,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/202083/,2021-22
Pat Connaughton,#24,G,6-5,209 lbs,"JAN 06, 1993",29,6,Notre Dame,Signed on 08/01/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626192/,2021-22
Serge Ibaka,#25,F,6-10,235 lbs,"SEP 18, 1989",32,12,Ricoh Manresa,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201586/,2021-22
Lindell Wigginton,#28,G,6-1,189 lbs,"MAR 28, 1998",24,R,Iowa State,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1629623/,2021-22
Giannis Antetokounmpo,#34,F,6-11,242 lbs,"DEC 06, 1994",27,8,Filathlitikos,#15 Pick in 2013 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203507/,2021-22
Thanasis Antetokounmpo,#43,F,6-6,219 lbs,"JUL 18, 1992",29,3,Panathinaikos,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203648/,2021-22
Sandro Mamukelashvili,#54,F-C,6-9,240 lbs,"MAY 23, 1999",23,R,Seton Hall,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1630572/,2021-22
Rayjon Tucker,#59,G,6-3,209 lbs,"SEP 24, 1997",24,2,Arkansas-Little Rock,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1629730/,2021-22
Donte DiVincenzo,#0,G,6-4,203 lbs,"JAN 31, 1997",24,2,Villanova,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1628978/,2020-21
Elijah Bryant,#3,G,6-5,210 lbs,"APR 19, 1995",26,R,Brigham Young,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1629091/,2020-21
Jeff Teague,#5,G,6-3,195 lbs,"JUN 10, 1988",33,11,Wake Forest,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201952/,2020-21
Bryn Forbes,#7,G,6-2,205 lbs,"JUL 23, 1993",27,4,Michigan State,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1627854/,2020-21
Bobby Portis,#9,F,6-10,250 lbs,"FEB 10, 1995",26,5,Arkansas,Signed on 11/24/20,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626171/,2020-21
Brook Lopez,#11,C,7-0,282 lbs,"APR 01, 1988",33,12,Stanford,Signed on 07/17/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201572/,2020-21
Jordan Nwora,#13,F,6-8,225 lbs,"SEP 09, 1998",22,R,Louisville,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1629670/,2020-21
Sam Merrill,#15,G,6-4,205 lbs,"MAY 15, 1996",25,R,Utah State,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1630241/,2020-21
P.J. Tucker,#17,F,6-5,245 lbs,"MAY 05, 1985",36,9,Texas,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/200782/,2020-21
Jrue Holiday,#21,G,6-3,205 lbs,"JUN 12, 1990",31,11,UCLA,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/201950/,2020-21
Khris Middleton,#22,F,6-7,222 lbs,"AUG 12, 1991",29,8,Texas A&M,Traded from DET on 07/31/13,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203114/,2020-21
Pat Connaughton,#24,G,6-5,209 lbs,"JAN 06, 1993",28,5,Notre Dame,Signed on 08/01/18,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626192/,2020-21
Mamadi Diakite,#25,F,6-9,228 lbs,"JAN 21, 1997",24,R,Virginia,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1629603/,2020-21
Giannis Antetokounmpo,#34,F,6-11,242 lbs,"DEC 06, 1994",26,7,Filathlitikos,#15 Pick in 2013 Draft,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203507/,2020-21
Thanasis Antetokounmpo,#43,F,6-6,219 lbs,"JUL 18, 1992",28,2,Panathinaikos,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/203648/,2020-21
Justin Jackson,#44,F,6-8,220 lbs,"MAR 28, 1995",26,3,North Carolina,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1628382/,2020-21
Axel Toupane,#66,G-F,6-7,210 lbs,"JUL 23, 1992",28,2,Strasbourg IG,,MILWAUKEE BUCKS,https://www.nba.com/stats/player/1626253/,2020-21
Jalen Johnson,#1,F,6-8,219 lbs,"DEC 18, 2001",23,3,Duke,#20 Pick in 2021 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1630552/,2024-25
Keaton Wallace,#2,G,6-3,185 lbs,"FEB 26, 1999",25,R,Texas-San Antonio,Signed on 09/29/23,ATLANTA HAWKS,https://www.nba.com/stats/player/1630811/,2024-25
Kobe Bufkin,#4,G,6-4,195 lbs,"SEP 21, 2003",21,1,Michigan,#15 Pick in 2023 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1641723/,2024-25
Dyson Daniels,#5,G,6-7,199 lbs,"MAR 17, 2003",21,2,NBA G League Ignite,Traded from NOP on 07/06/24,ATLANTA HAWKS,https://www.nba.com/stats/player/1630700/,2024-25
David Roddy,#8,F,6-4,255 lbs,"MAR 27, 2001",23,2,Colorado State,Traded from PHX on 07/29/24,ATLANTA HAWKS,https://www.nba.com/stats/player/1631223/,2024-25
Zaccharie Risacher,#10,F,6-8,200 lbs,"APR 08, 2005",19,R,JL Bourg-en-Bresse,#1 Pick in 2024 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1642258/,2024-25
Trae Young,#11,G,6-1,164 lbs,"SEP 19, 1998",26,6,Oklahoma,Draft Rights Traded from DAL on 06/21/18,ATLANTA HAWKS,https://www.nba.com/stats/player/1629027/,2024-25
De'Andre Hunter,#12,F-G,6-8,221 lbs,"DEC 02, 1997",27,5,Virginia,Draft Rights Traded from NOP on 07/07/19,ATLANTA HAWKS,https://www.nba.com/stats/player/1629631/,2024-25
Bogdan Bogdanović,#13,G,6-5,225 lbs,"AUG 18, 1992",32,7,Fenerbahce,Signed on 11/25/20,ATLANTA HAWKS,https://www.nba.com/stats/player/203992/,2024-25
Clint Capela,#15,C,6-10,256 lbs,"MAY 18, 1994",30,10,Elan Chalon,Traded from HOU on 02/05/20,ATLANTA HAWKS,https://www.nba.com/stats/player/203991/,2024-25
Onyeka Okongwu,#17,F-C,6-10,240 lbs,"DEC 11, 2000",24,4,Southern California,#6 Pick in 2020 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1630168/,2024-25
Mouhamed Gueye,#18,F,6-10,210 lbs,"NOV 09, 2002",22,1,Washington State,Draft Rights Traded from BOS on 06/28/23,ATLANTA HAWKS,https://www.nba.com/stats/player/1631243/,2024-25
Larry Nance Jr.,#22,F-C,6-8,245 lbs,"JAN 01, 1993",31,9,Wyoming,Traded from NOP on 07/06/24,ATLANTA HAWKS,https://www.nba.com/stats/player/1626204/,2024-25
Garrison Mathews,#24,G,6-6,215 lbs,"OCT 24, 1996",28,5,Lipscomb,Traded from HOU on 02/09/23,ATLANTA HAWKS,https://www.nba.com/stats/player/1629726/,2024-25
Dominick Barlow,#26,F,6-8,215 lbs,"MAY 26, 2003",21,2,Overtime Elite,Signed on 07/30/24,ATLANTA HAWKS,https://www.nba.com/stats/player/1631230/,2024-25
Vít Krejčí,#27,G,6-8,195 lbs,"JUN 19, 2000",24,3,Zaragoza,Signed on 12/22/23,ATLANTA HAWKS,https://www.nba.com/stats/player/1630249/,2024-25
Cody Zeller,#40,F-C,6-11,240 lbs,"OCT 05, 1992",32,11,Indiana,Traded from NOP on 07/06/24,ATLANTA HAWKS,https://www.nba.com/stats/player/203469/,2024-25
Jalen Johnson,#1,F,6-8,219 lbs,"DEC 18, 2001",22,2,Duke,#20 Pick in 2021 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1630552/,2023-24
Trent Forrest,#2,G,6-4,210 lbs,"JUN 12, 1998",26,3,Florida State,,ATLANTA HAWKS,https://www.nba.com/stats/player/1630235/,2023-24
Seth Lundy,#3,G-F,6-4,220 lbs,"APR 02, 2000",24,R,Penn State,,ATLANTA HAWKS,https://www.nba.com/stats/player/1641754/,2023-24
Kobe Bufkin,#4,G,6-5,195 lbs,"SEP 21, 2003",20,R,Michigan,#15 Pick in 2023 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1641723/,2023-24
Dejounte Murray,#5,G,6-5,180 lbs,"SEP 19, 1996",27,6,Washington,,ATLANTA HAWKS,https://www.nba.com/stats/player/1627749/,2023-24
Trae Young,#11,G,6-1,164 lbs,"SEP 19, 1998",25,5,Oklahoma,Draft Rights Traded from DAL on 06/21/18,ATLANTA HAWKS,https://www.nba.com/stats/player/1629027/,2023-24
De'Andre Hunter,#12,F-G,6-8,221 lbs,"DEC 02, 1997",26,4,Virginia,Draft Rights Traded from NOP on 07/07/19,ATLANTA HAWKS,https://www.nba.com/stats/player/1629631/,2023-24
Bogdan Bogdanović,#13,G,6-5,225 lbs,"AUG 18, 1992",31,6,Fenerbahce,Signed on 11/25/20,ATLANTA HAWKS,https://www.nba.com/stats/player/203992/,2023-24
AJ Griffin,#14,F,6-6,220 lbs,"AUG 25, 2003",20,1,Duke,,ATLANTA HAWKS,https://www.nba.com/stats/player/1631100/,2023-24
Clint Capela,#15,C,6-10,256 lbs,"MAY 18, 1994",30,9,Elan Chalon,Traded from HOU on 02/05/20,ATLANTA HAWKS,https://www.nba.com/stats/player/203991/,2023-24
Onyeka Okongwu,#17,F-C,6-10,240 lbs,"DEC 11, 2000",23,3,Southern California,#6 Pick in 2020 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1630168/,2023-24
Mouhamed Gueye,#18,F,6-10,210 lbs,"NOV 09, 2002",21,R,Washington State,Draft Rights Traded from BOS on 06/28/23,ATLANTA HAWKS,https://www.nba.com/stats/player/1631243/,2023-24
Dylan Windler,#20,G-F,6-7,196 lbs,"SEP 22, 1996",27,3,Belmont,,ATLANTA HAWKS,https://www.nba.com/stats/player/1629685/,2023-24
Bruno Fernando,#24,F-C,6-9,240 lbs,"AUG 15, 1998",25,4,Maryland,,ATLANTA HAWKS,https://www.nba.com/stats/player/1628981/,2023-24
Garrison Mathews,#25,G,6-6,215 lbs,"OCT 24, 1996",27,4,Lipscomb,Traded from HOU on 02/09/23,ATLANTA HAWKS,https://www.nba.com/stats/player/1629726/,2023-24
Vít Krejčí,#27,G,6-8,195 lbs,"JUN 19, 2000",24,2,Zaragoza,Signed on 12/22/23,ATLANTA HAWKS,https://www.nba.com/stats/player/1630249/,2023-24
Wesley Matthews,#32,G,6-5,220 lbs,"OCT 14, 1986",37,14,Marquette,,ATLANTA HAWKS,https://www.nba.com/stats/player/202083/,2023-24
Saddiq Bey,#41,G-F,6-7,215 lbs,"APR 09, 1999",25,3,Villanova,,ATLANTA HAWKS,https://www.nba.com/stats/player/1630180/,2023-24
Donovan Williams,#,G,6-6,190 lbs,"SEP 06, 2001",21,R,UNLV,,ATLANTA HAWKS,https://www.nba.com/stats/player/1631495/,2022-23
Bruno Fernando,#0,F-C,6-10,240 lbs,"AUG 15, 1998",24,3,Maryland,,ATLANTA HAWKS,https://www.nba.com/stats/player/1628981/,2022-23
Jalen Johnson,#1,F,6-8,219 lbs,"DEC 18, 2001",21,1,Duke,#20 Pick in 2021 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1630552/,2022-23
Trent Forrest,#2,G,6-4,210 lbs,"JUN 12, 1998",25,2,Florida State,,ATLANTA HAWKS,https://www.nba.com/stats/player/1630235/,2022-23
Aaron Holiday,#3,G,6-0,185 lbs,"SEP 30, 1996",26,4,UCLA,,ATLANTA HAWKS,https://www.nba.com/stats/player/1628988/,2022-23
Dejounte Murray,#5,G,6-5,180 lbs,"SEP 19, 1996",26,5,Washington,,ATLANTA HAWKS,https://www.nba.com/stats/player/1627749/,2022-23
Trae Young,#11,G,6-1,164 lbs,"SEP 19, 1998",24,4,Oklahoma,Draft Rights Traded from DAL on 06/21/18,ATLANTA HAWKS,https://www.nba.com/stats/player/1629027/,2022-23
De'Andre Hunter,#12,F-G,6-8,221 lbs,"DEC 02, 1997",25,3,Virginia,Draft Rights Traded from NOP on 07/07/19,ATLANTA HAWKS,https://www.nba.com/stats/player/1629631/,2022-23
Bogdan Bogdanović,#13,G,6-5,225 lbs,"AUG 18, 1992",30,5,Fenerbahce,Signed on 11/25/20,ATLANTA HAWKS,https://www.nba.com/stats/player/203992/,2022-23
AJ Griffin,#14,F,6-6,220 lbs,"AUG 25, 2003",19,R,Duke,,ATLANTA HAWKS,https://www.nba.com/stats/player/1631100/,2022-23
Clint Capela,#15,C,6-10,256 lbs,"MAY 18, 1994",29,8,Elan Chalon,Traded from HOU on 02/05/20,ATLANTA HAWKS,https://www.nba.com/stats/player/203991/,2022-23
Onyeka Okongwu,#17,F-C,6-9,240 lbs,"DEC 11, 2000",22,2,Southern California,#6 Pick in 2020 Draft,ATLANTA HAWKS,https://www.nba.com/stats/player/1630168/,2022-23
